"rose_fanfic" "anne_fanfic" "anonymous_fanfic"
"found" 0.131061598951507 0 0.0575043128234618
"full" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"getting" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"glanced" 0.131061598951507 0 0.0575043128234618
"grinning" 0 0 0.172512938470385
"half" 0.131061598951507 0.0654450261780105 0
"heavily" 0.196592398427261 0 0
"hide" 0 0.196335078534031 0
"himself" 0.0655307994757536 0.130890052356021 0
"hold" 0 0 0.172512938470385
"immediately" 0.131061598951507 0 0.0575043128234618
"insisted" 0.0655307994757536 0.130890052356021 0
"legs" 0.196592398427261 0 0
"long" 0.196592398427261 0 0
"looking" 0 0 0.172512938470385
"make" 0 0.196335078534031 0
"more" 0 0 0.172512938470385
"morning" 0 0.130890052356021 0.0575043128234618
"move" 0 0.196335078534031 0
"moved" 0 0.196335078534031 0
"moving" 0 0.196335078534031 0
"nearly" 0 0.130890052356021 0.0575043128234618
"nothing" 0 0.0654450261780105 0.115008625646924
"oh" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"okay" 0 0.196335078534031 0
"onto" 0 0.130890052356021 0.0575043128234618
"open" 0 0.0654450261780105 0.115008625646924
"patient" 0 0.196335078534031 0
"put" 0 0.130890052356021 0.0575043128234618
"quietly" 0.0655307994757536 0 0.115008625646924
"remember" 0.0655307994757536 0.130890052356021 0
"road" 0.131061598951507 0 0.0575043128234618
"run" 0.0655307994757536 0.130890052356021 0
"same" 0.0655307994757536 0 0.115008625646924
"set" 0 0.196335078534031 0
"shook" 0 0.130890052356021 0.0575043128234618
"sighed" 0.196592398427261 0 0
"silent" 0.196592398427261 0 0
"sitting" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"small" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"son" 0 0 0.172512938470385
"soon" 0.0655307994757536 0 0.115008625646924
"sort" 0.131061598951507 0.0654450261780105 0
"spot" 0 0.196335078534031 0
"start" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"stomach" 0 0.130890052356021 0.0575043128234618
"term" 0.196592398427261 0 0
"this" 0 0.0654450261780105 0.115008625646924
"thought" 0.131061598951507 0 0.0575043128234618
"trunk" 0.196592398427261 0 0
"trying" 0.0655307994757536 0.130890052356021 0
"turned" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"understand" 0 0.196335078534031 0
"where" 0.0655307994757536 0 0.115008625646924
"will" 0 0.0654450261780105 0.115008625646924
"yeah" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"actually" 0 0.0654450261780105 0.0575043128234618
"added" 0.0655307994757536 0 0.0575043128234618
"afraid" 0.131061598951507 0 0
"ago" 0 0.130890052356021 0
"ah" 0 0 0.115008625646924
"allowed" 0 0.130890052356021 0
"along" 0.0655307994757536 0.0654450261780105 0
"already" 0.0655307994757536 0.0654450261780105 0
"also" 0 0.130890052356021 0
"am" 0 0 0.115008625646924
"arm" 0.0655307994757536 0.0654450261780105 0
"asleep" 0 0 0.115008625646924
"august" 0 0 0.115008625646924
"awful" 0 0 0.115008625646924
"babies" 0 0 0.115008625646924
"bad" 0.0655307994757536 0 0.0575043128234618
"beaming" 0 0 0.115008625646924
"bed" 0 0.130890052356021 0
"between" 0.0655307994757536 0.0654450261780105 0
"blinked" 0 0 0.115008625646924
"box" 0 0.130890052356021 0
"boys" 0.131061598951507 0 0
"bring" 0 0.130890052356021 0
"build" 0 0.130890052356021 0
"bundle" 0 0 0.115008625646924
"careful" 0 0.130890052356021 0
"caught" 0 0.0654450261780105 0.0575043128234618
"cereal" 0 0.130890052356021 0
"certainly" 0.0655307994757536 0 0.0575043128234618
"chair" 0 0.130890052356021 0
"changing" 0 0.130890052356021 0
"chest" 0 0.0654450261780105 0.0575043128234618
"choice" 0 0 0.115008625646924
"chuckling" 0 0.0654450261780105 0.0575043128234618
"closet" 0 0.130890052356021 0
"completely" 0.131061598951507 0 0
"conceived" 0.0655307994757536 0 0.0575043128234618
"cry" 0.0655307994757536 0 0.0575043128234618
"dark" 0.0655307994757536 0 0.0575043128234618
"despite" 0.0655307994757536 0 0.0575043128234618
"different" 0 0.130890052356021 0
"does" 0 0 0.115008625646924
"doing" 0 0.0654450261780105 0.0575043128234618
"done" 0.0655307994757536 0 0.0575043128234618
"dragging" 0.131061598951507 0 0
"dresses" 0.131061598951507 0 0
"earth" 0.0655307994757536 0 0.0575043128234618
"eventually" 0.0655307994757536 0 0.0575043128234618
"except" 0 0.130890052356021 0
"expected" 0.0655307994757536 0 0.0575043128234618
"extra" 0 0.130890052356021 0
"eye" 0.0655307994757536 0 0.0575043128234618
"eyebrows" 0.0655307994757536 0 0.0575043128234618
"fallen" 0.0655307994757536 0 0.0575043128234618
"family" 0.0655307994757536 0.0654450261780105 0
"favorite" 0 0.130890052356021 0
"fear" 0.0655307994757536 0 0.0575043128234618
"feeling" 0 0.130890052356021 0
"feet" 0 0.130890052356021 0
"fine" 0.0655307994757536 0.0654450261780105 0
"foot" 0 0 0.115008625646924
"fun" 0 0.130890052356021 0
"gaped" 0.0655307994757536 0 0.0575043128234618
"gently" 0 0.0654450261780105 0.0575043128234618
"genuinely" 0.131061598951507 0 0
"gone" 0.0655307994757536 0.0654450261780105 0
"grandad" 0.131061598951507 0 0
"grip" 0.131061598951507 0 0
"hadn" 0.0655307994757536 0.0654450261780105 0
"handed" 0 0 0.115008625646924
"happened" 0.131061598951507 0 0
"happens" 0 0 0.115008625646924
"hard" 0.0655307994757536 0.0654450261780105 0
"having" 0.0655307994757536 0.0654450261780105 0
"hey" 0.0655307994757536 0 0.0575043128234618
"holding" 0.131061598951507 0 0
"hopefully" 0.0655307994757536 0 0.0575043128234618
"hoping" 0 0.0654450261780105 0.0575043128234618
"hurried" 0.0655307994757536 0 0.0575043128234618
"hurt" 0 0.130890052356021 0
"important" 0 0.130890052356021 0
"kept" 0 0.130890052356021 0
"kind" 0 0.130890052356021 0
